rapper,lyrics
2pac,"War stories nigga; hahaha, what players do
Thug Life, Outlaw Immortalz"
2pac,"I'm down for you so ride with me
My enemies your enemies"
2pac,"Get money, evade bitches, evade tricks
Give playa haters plenty of space"
2pac,"While he thinks that he's gettin' over
I bust a move as smooth as Casanova"
2pac,"(Remember what my pops told me)
Using the name of the Lord in vain"
2pac,"While I'm starin' at the world through my rearview
See, I'm seein' nothin' but my dreams comin' true"
2pac,"All you niggas die
Troublesome nigga, Outlawz"
2pac,"How many niggas fall in your vision?
Gunnin' 'em down for every last minute that I spent in prison"
2pac,"Get on the roof, let's get smoked out, and blaze with me
Two in the morning and we still high, assed out"
2pac,"Nobody cry, should have never testified
You got my nigga 25, so now I sacrifice your life"
2pac,"Maximum overload
3 Day Theory, Killuminati to your body"
2pac,"Maybe in time you'll understand
Only God can save us, when Miles Davis cuttin' lose with the band"
2pac,"Why you actin' like that Michel'le, ha?
You know nigga wanna kick it with his homeboys and shit"
2pac,"""What more could I say? I wouldn't be here today
If the old school didn't pave the way"""
2pac,"Now we satisfied, got the pockets on swoll
Boss Hogg and this 'Pac nigga, picture us rollin'"
2pac,"'Cause you ain't ever had a friend like me
Nobody knows where we'll be"
2pac,"I gotta thank the Lord that you made me
There are no words that can express how I feel"
2pac,"You don't know me, you just met me, you won't let me
Well, if I couldn't have it (Silly rabbit) why you sweatin' me?"
2pac,"This lifestyle lives forever, watch the game unfold
Shedding crocodile tears, just got life plus"
2pac,"Why you trickin' on them other hoes?
Let's be friends (C'mon, get your cash on! Let's get paid!)"
2pac,"I betcha
You wonda why they call you bitch"
2pac,"Runnin' up in ya just like Bruce Jenner when I bend ya
At the most, I fucked a bitch from the West Coast to West Virginia"
2pac,"Be friends, tell me where my people at
Be friends, tell me where my bitches at"
2pac,"Went out to steal
Remember Raw, with Daddy Kane?"
2pac,"The power is in the people and politics we address
Always do your best, don't let this pressure make you panic"
2pac,"My niggas, we the last ones left, but life goes on
As I bail through the empty halls, breath stinkin' in my jaws"
2pac,"Down to ride to the bloody end
Just me and my girlfriend"
2pac,"You need a thug to get you flowin' and let that loc see smoke
Feelin' the strokes of the 9 squeeze tight and slow"
2pac,"Shootin' my gauge to get paid, a fuckin' crazed devil
Mash shit from here to here, day by day, year to year"
2pac,"And touch everything inside you from my head to my nuts
You got me sweatin' like a fat girl goin' for mine"
2pac,"I figured you wanted to know
You know, why we call them hoes bitches"
2pac,"(Oh my, oh my, come on, come on)
That's just the way it is (That's just the way it is, the way it is)"
2pac,"So where your niggas at now? ‘Cause everybody left
They stepped, and left you on your own"
2pac,"Down to catch a slug for me
Guaranteed to bleed deeply, now that's love"
2pac,"My city's full of gang-bangers and drive-by's
Why do we die at an early age?"
2pac,"I'm reminiscin' to the beginnin' of my mission
When I was conceived and came to be in this position"
2pac,"Nobody else (Nobody else)
All you other motherfuckers get out my business (Really)"
2pac,"'Cause you ain't ever had a friend like me
You ain't ever had a friend like me"
2pac,"We get high and we multiply, motherfucker
Give a holler to my niggas in the Bay"
2pac,"God come save the youth
Ain't nothin' else to do but have faith in you"
2pac,"Got a nigga goin' crazy
I feel crazy"
2pac,"But I can't help from walkin' out, just throw it away
Just take my hand and understand if you could see"
2pac,"I see you tryin' to hide, hopin' that nobody don't notice
You must always remember: you're still a member of the hopeless"
2pac,"Brothers pissed 'cause you switched and escaped to the burbs
Mob on to this new era, 'cause we untouchable"
2pac,"Got me strivin' for a million, stayin' motivated
Now that we made it, it's a battle just for the big money"
2pac,"How do you want it? (Ooh)
How do you feel?"
2pac,"Tell them tricks that shot me that they missed, they ain't kill me
I can make a motherfucker shake, rattle and roll"
2pac,"Only God can judge me
Only God can judge me now"
2pac,"Thug Life, baby
Don't believe everything you read! Alizé and weed"
2pac,"With a bear and a snake and a panda, I'm all those
Who can withstand the more power I gain?"
2pac,"I'm hearin' rumors, so you need to switch
And niggas wouldn't call you bitch—I betcha!"
2pac,"• M.O.B
• Heartless Skull"
2pac,"It's so physical, my attraction
Driven by alcohol, beware of my reaction"
2pac,"It is like that
Election. It’s an election and shit"
2pac,"First off, fuck your bitch and the clique you claim
Westside, when we ride, come equipped with game"
2pac,"Witness the realest, a who-ridah when I put the shit inside
The cries from all your people when they find her, must remind ya"
2pac,"We must fight for brother Geronimo Pratt
We must fight for Frankie Moore, Zulu, Kofi"
2pac,"With a blast, take his cash before I dash, I bash his head in
Dump him at the dead end and that's just his luck"
2pac,"""What more could I say? I wouldn't be here today
If the old school didn't pave the way"""
2pac,"Gettin' drunk off that Tanqueray gin
'Bout to break my nigga out the fuckin' pen'"
2pac,"She's so scandalous (She's so scandalous, she's so scandalous)
Scandalous (She's so scandalous, she's so scandalous)"
2pac,"I know you've been searching for someone
To make you happy and get the job done"
2pac,"My girl said I need a raise, how long will she last?
I'm caught between my woman and my pistol and my chips"
2pac,"I'm up early in the morning, by sunrise I'll be gone
All my homies is waitin' for me"
2pac,"Your body the kind I like, a
Big booty, titillating delight"
2pac,"Is y'all ready for me? We up out this bitch
Any time y'all wanna see me again"
2pac,"Even though I got your digits, gotta struggle to resist it
Slowly advance when it's my chance not to miss it"
2pac,"So we can get drunk and smoke weed all day
It don't matter if you lonely baby, you need a thug in your life"
2pac,"I'm tellin' ya, it's the same old shit
I mean, goddamn, you know what I'm sayin'?"
2pac,"It, learned to breathe FRESH air
Long live the rose that grew from concrete"
2pac,"Ain't no time for commitment, I gotta go
Can't be with you every minute, miss, another show"
2pac,"Tonight's the night I get in some shit
Kill, kill, kill, murder, murder, murder"
2pac,"I know you've been searchin' for someone
To make you happy and get the job done"
2pac,"A hero in they children's eyes (Uh-huh)
Now they give a fuck about us"
2pac,"Will God forgive me for all the dirt a nigga did, to feed kids?
One life to live, it's so hard to be positive"
2pac,"You probably crooked as the last trick
Want to laugh at how I got my ass caught up with this bad bitch?"
2pac,"The projects is full of bullets though bodies is droppin' there ain't no stoppin' me
Constantly movin' while makin' millions"
2pac,"And, uh, to all the ladies havin' babies on they own
I know it's kinda rough and you're feelin' all alone"
2pac,"CPO, you got the bomb spot
Nigga, time to clock it"
2pac,"Make some of that shit you made last meal
Some of them ribs and shit"
2pac,"Now scream my name out; do you want it fast or shall I hit it slow?
Not to mention, the multiple positions I inflict"
2pac,"Do you wanna ride or die?
La, da-da, da, da, da-da, da"
2pac,"Criminally addicted, infested since a seed
We all die, breed, bleed like humans"
2pac,"Don't have to bump this, but please respect it
I took a minus and now the hard times are behind us"
2pac,"And since we all came from a woman
Got our name from a woman and our game from a woman (Yeah, yeah)"
2pac,"Only God can judge me
Only God can judge me, only God"
2pac,"Replace it with happiness but I need your faith in me, I'm a sucker for love
What you won't do, do for love? (What you won't do for love, sucker for love)"
2pac,"N-I-C in Rikers Island, downstate
All the peoples I met along the way"
2pac,"Just know I got love for you
And I'll see you if there's a ghetto in Heaven"
2pac,"And find a woman of my own
All the homies tell me that you don't deserve it"
2pac,"My damaged petals. Don't ask me why, thank God nigga, ask me how!
Hahahaha.."
2pac,"About us bein' endangered species
We ain't never gon' leave this"
2pac,"'Cause you've been such a good friend to me
Where would I be without my dogs?"
2pac,"Against all odds, up in the studio gettin' blow
To the truest shit I ever spoke"
2pac,"Promise to visit, I know it's rough in your cell
Receiving mail to the county jail, this is hell"
2pac,"M.O.B, gunfire, gettin' sprayed quicker
Fuck 'em all, let 'em understand my plot to get richer"
2pac,"Shit, I'm like a hostage on this troubled block
Call the cops, a thug nigga screamin' Westside"
2pac,"Bust shots at my adversaries, them niggas scurry
Pick a spot to be buried, ‘cause I'll be buckin' in a fuckin' hurry"
2pac,"Hey homie, if you feel me
Tell them tricks that shot me that they missed, they ain't kill me"
2pac,"Scandalous (She's so scandalous, she's so scandalous)
She's so scandalous (She's so scandalous, she's so scandalous)"
2pac,"You had a man and I knew it, you told me
Don't worry 'bout it, we can do it now, I'm under pressure"
2pac,"""What more could I say? I wouldn't be here today
If the old school didn't pave the way"""
2pac,"Hahaha, that's right
I know it seem hard sometimes"
2pac,"They violated my probation
And it seems I'll be goin' on a long vacation"
2pac,"Twist the cap off the bottle, I take a sip and see tomorrow
Gotta make it if I have to beg or borrow"
2pac,"Death before dishonor, bet I bomb on 'em first
Niggas knew we came for murder, pullin' up in a hearse"
2pac,"Crossed-eye, fat, down-syndrome, motherfuckers
Weak-ass niggas, dancers turned, fuckin' CEOs, haha"
2pac,"Lord be my savior, uhh
Mama raised a hellraiser (Dear Lord, can you feel me?), stress gettin' major"
2pac,"Uh-uh, they can't keep the Black man down
You know they got me trapped"
2pac,"Do you feel me? World, do you hear me?
Catch a risin' star, fuck the love, niggas fear me"
2pac,"So now I'm in this high-powered cell at the county jail
Punk judge got a grudge, can't post no bail"
2pac,"While de people in de ghetto feel nuff pain
We probably in Hell, already, our dumb asses not knowin'"
2pac,"E.D.I. Mean, born worthless
That's until the day, I decided to bomb first, bitch (Biatch!)"
2pac,"With every toke, it's like, I'm losin' focus
Fallin' asleep while I'm in service, when will I die?"
2pac,"Hey, drop that shit, boy
My adversaries cry like hoes, fully eradicate my foes"
2pac,"You gotta learn to hold your own
They get jealous when they see you with your mobile phone"
2pac,"Now picture the scenery, I'm thugged out smokin' greenery
Considered a BG, but I'm off in this game something deeply"
2pac,"They got me mobbin' like I'm loced, and ready to get my slug on
I load my clip and slip my motherfuckin' gloves on"
2pac,"It don't matter if you lonely baby, you need a thug in your life
These busters ain't loving you right"
2pac,"Scandalous (She's so scandalous, she's so scandalous)
She's so scandalous (She's so scandalous, she's so scandalous)"
2pac,"But I promise you this: we'll burn this bitch down, get us pissed
To live and die in L.A"
2pac,"Softer than Alizé with a chaser
'Bout to get murdered for the paper"
2pac,"Fuck you to the B-U-S-H
Fuck you to the Ameri-K-K-Ka"
2pac,"Worked me like a slave while they laid back
Homie don't play that, it's time I let 'em suffer the payback"
2pac,"More bodies bein' buried
I'm losin' my homies in a hurry, they're relocatin' to the cemetery"
2pac,"Niggas need a spot where we can kick it
A spot where we belong, that's just for us"
2pac,"I welcome with my hands
And the red sun sinks at last"
2pac,"Ohhh
Tired of the strain and the pain"
2pac,"Gettin’ rich, even though it's hard
Tryna creep through these halls and brawls without scarred by a revolve'"
2pac,"For all my soldiers gone we burnin' the Earth
Outlawz worldwide, we pack the block"
2pac,"From way befo' kiss me from my head to my toe
Give me a paper and a pen, so I can write about my life of sin"
2pac,"Nickel bag full of cess weed laced with hash
Phone calls from my niggas on the other side"
2pac,"Look, now you was sprung from the introduction
My conversation's full of game yet laced with seductions"
2pac,"I know you motherfuckers didn't think I forgot
Hell nah, I ain't forgot, nigga"
2pac,"""Give the crack to the kids, who the hell cares?
One less hungry mouth on the welfare"""
2pac,"Hardly parted or separated, we stayed faded
Affiliated with gang-bangers and still made it"
2pac,"Niggas been dyin' for years, so how can they blame us?
I live in fear of a felony"
2pac,"And I can make you jealous niggas famous
Fuck around with 2Pac and see how good a nigga's aim is"
2pac,"Check this out, you motherfuckers know what time it is (Take money)
I don't even know why I'm on this track (Take money)"
2pac,"Sometimes we overlook the fact
That we be ridin' hard on our sisters"
2pac,"God bless the dead
Man, ain't nobody promised me a thang"
2pac,"Pete Wilson tryin' to see us all broke
I'm on some bullshit out for everything they owe"
2pac,"Let me see you toss it up
I like the way you give it to me"
2pac,"'Cause they don't give a fuck about us
If I choose to ride, thuggin' 'til the day I die"
2pac,"Aww c'mon! Pleeeeeease...
(Nah)"
2pac,"As we give up our debts
As we forgive our debtors"
2pac,"I can't give up, although I'm hopeless, I think my mind's gone
All I can do is get my grind on"
2pac,"Retaliation, makin' legends off the shit we did
Still bullshittin', niggas in Jerusalem waitin' for signs"
2pac,"Trouble sparks, they tell me: ""Home is where the heart is.""
Dear departed, I shed tattooed tears"
2pac,"They wonder if I'll go when I'm finally sentenced
On my knees to God, beggin' for repentance"
2pac,"Hold the wheel
I'm 'bout to give these niggas somethin' they can feel"
2pac,"Y'knowhahatImean unbelievable lifestyle they gave me
I'm just tryin to make somethin..."
2pac,"We might fight amongst each other
But I promise you this: we'll burn this bitch down, get us pissed"
2pac,"Me against the world (Ooh yeah)
I got nothin' to lose"
2pac,"Your clout petty, sour, I push packages every hour, hit 'em up
Grab your Glocks when you see 2Pac"
2pac,"Give 'em the finger
(Hey, eyy-ayyaahhyy)"
2pac,"And then I'm chillin', fade 'em all
These taxes got me crossed up and people tryin' to sue me"
2pac,"We don't be knowin' the pain we be causin' (In this white man's world)
In this white man's world"
2pac,"Tell me is it cool to fuck?
Did you think I come to talk? Am I a fool or what?"
2pac,"No longer with us, he's deceased
Call on the sirens, seen him murdered in the streets, now he rest in peace"
2pac,"Gettin' him for everything
Hoes these days is way too motherfuckin' intelligent"
2pac,"I ain't mad, I know you representin' the crew
And I can picture you in heaven with a blunt and a brew"
2pac,"We left 'em a world that's cursed, and it hurts (Hurts)
‘Cause any day, they'll push the button"
2pac,"I only got one chance so I gotta take it
You never know when it's all gonna happen"
2pac,"How do you want it?
How do you feel?"
2pac,"Let it ride (Get with it), tonight's the night
I got my mind made up, come on"
2pac,"Ditch my ski mask and get to straight coastin'
It's visitin' day at San Quentin, always there to see your closest roaddog"
2pac,"I'll murder that ass
And disappear before the cops come runnin'"
2pac,"It seems I lost my little homie, he's a changed man
Hit the pen' and now no sinnin' is the game plan"
2pac,"Dealin' with fate, hopin' God don't close the gate
Come with me"
2pac,"You niggas still breathin'? Fuckin' roaches
A'ight, it's the Raid on cockroaches"
2pac,"The rappin' or the drugs
But until then give me love and let me run the streets"
2pac,"Whichever one was winning, 'That's my side'""
The hearts of men"
2pac,"Shedding crocodile tears, just got life plus
And you wonder if these white judges like us"
2pac,"That I might not get to see 'cause of this lifestyle
Just know your daddy loved you"
2pac,"All those glasses won't help you realize
You blinded, you blinded, you can't see me"
2pac,"La, da-da, da, da, da-da, da
Penitentiaries is packed with promise-makers"
2pac,"This is to my unborn child
Wanna let you know I love you"
2pac,"Got a nigga goin' crazy
I feel crazy"
2pac,"I'm 'bout to give these niggas somethin' they can feel
Fakin' real, but we the raw and uncut"
2pac,"Let's get ready to rumble!
Now, you know how we do it, like a G"
2pac,"It's hard to imagine, picture me rollin'
Picture me rollin'"
2pac,"I flip to see a Doug E. Fresh show, with Ricky D
And Red Alert was puttin' in work, with Chuck Chill"
2pac,"Niggas hate me in the section, from years of chin-checkin'
Turn to Smith & Wesson war weapons"
2pac,"Y'all shouldn'ta fucked with us, in the first place
Y'all real OGs, droppin' game to the youngsters"
2pac,"They can't see me
Which way did he go, George?"
2pac,"Just me and my girlfriend
All I need in this life of sin"
2pac,"It's not for me, you see no lovin' from my closest homies
Woulda paid you no mind, but baby, you was all up on me"
2pac,"Picture me rollin' roll call
You know there's some muh'fuckers out there"
2pac,"Niggas can roll with us, or they can be rolled up under us
That's on you, nigga, what you wanna do?"
2pac,"Tell me, can you get away?
Ebony, can you get away?"
2pac,"Follow me! (La, la-da-la-la-la-la-la)
Eat my flesh, flesh of my flesh!"
2pac,"But what was I doin' in this place?
To the fakes without a pistol in the first"
2pac,"When I was conceived and came to be in this position
My mama was a Panther loud, single parent, but she proud"
2pac,"To the niggas who kept it real like they claim to?
That's what money and fame do, see, they ain't true"
2pac,"Crack got her crazy, guess who's givin' birth to a baby?
I don't trip or let it fade me"
2pac,"For tryin' to communicate through a song?
I'm up early in the morning, by sunrise I'll be gone"
2pac,"They'll never take me alive, I'm gettin' high with my four-five
Cocked on these suckers, time to die"
2pac,"Got me thinkin' 'bout better days
Better days, better days, better days"
2pac,"Picture, picture me rollin'
Picture me rollin'"
2pac,"You heard My Melody, read about my life in the papers
All my run-ins with authorities, (Trick) felonious capers (Punk)"
2pac,"Westside was the war cry, bustin' off freely
Screamin', ""Fuck all y'all niggas!"" in Swahili"
2pac,"We can hook up at the store. Can you get away?
So much pressure in the air (I know it is)"
2pac,"I wake up stranglin', danglin' my bed sheets
I call the nurse 'cause it hurts to reminisce"
2pac,"We keep on comin' while we runnin' for your jewels
Steady gunnin', keep on bustin' at them fools, you know the rules"
2pac,"Hopin' that it gets me by
Got a nigga goin' crazy"
2pac,"You know what I'm sayin'? And then, you know what I'm sayin'?
What make that even more fucked up"
2pac,"Me and all my childhood peers
Through the years tryin' to stack a little green"
2pac,"""It's time to fight back,"" that's what Huey said
Two shots in the dark, now Huey's dead"
2pac,"You doin' your job every day
And then you work so hard 'til your hair turn gray"
2pac,"Your mind was on paper, thinkin' they don't give a fuck about us
I'm seein' it clearer, hatin' the picture in the mirror"
2pac,"Give me a paper and a pen, so I can write about my life of sin
A couple bottles of gin, in case I don't get in"
2pac,"Can't be with you every minute, miss, another show
And even though I'm known for my one night stand (Look here)"
2pac,"Catch 'em while they sleepin'
Now I'm the last motherfucker breathin'"
2pac,"Now we gotta slay you while you faded, in the younger days
So full of pain while the weapons blaze"
2pac,"It's a struggle every day, gotta roll on
And there's no way I can pay you back"
2pac,"Nigga, I'm so scandalous
Scandalous (She's so scandalous, she's so scandalous)"
2pac,"Well, baby, if you got it, better flaunt it
Let the liquor help you get up on it"
2pac,"Ain't nothin' but a gangsta party
(Nothin' but a gangsta party"
2pac,"Life in the hood is all good for nobody
Remember gamin' on dumb hotties at yo' party"
2pac,"But please don't cry, dry your eyes, never let up
Forgive, but don't forget, girl, keep ya head up"
2pac,"(Hey, eyy-ayyaahhyy)
And uh, throw up that finger"
2pac,"Who knows what tomorrow brings
(In this white man's world)"
2pac,"Plotting on murdering motherfuckers 'fore they get you
Pray to the Heaven's, .357's to the sky"
2pac,"If I die tonight
Tonight's the night I get in some shit"
2pac,"If the old school didn't pave the way""
""What more could I say? I wouldn't be here today"
2pac,"Your city is the bomb if your city makin' pay
Throw up a finger if you feel the same way"
2pac,"Dial the beeper number, baby, when you need me
And I'll be there in a jiffy"
2pac,"I tell her yeah, but it's clear I'll always be the same
Until the end of time"
2pac,"If you didn't know I feel this way
'Cause I think about you every day"
2pac,"I shed so many tears
If I should die before I wake"
2pac,"Ha, I ain't mad at cha
I ain't mad at cha"
2pac,"I see death around the corner
(""When we were kids, belonging felt good..."")"
2pac,"You ain't ever had a friend like me
'Cause you ain't ever had a friend like me"
2pac,"I got bustas, hoes, and police watchin' a nigga, you know?
(I live my life as a thug nigga until the day I die)"
2pac,"Sit back and get fat off the fat cat
While he thinks that he's gettin' over"
2pac,"Please, Lord, forgive me for my life of sin
My hard stare seem to scare all my sister's kids"
2pac,"They got me trapped
Nah, they can't keep the Black man down"
2pac,"That's why I bust back, it don't faze me
When he drop, take his Glock and I'm Swayze"
2pac,"Won't you toss it up, yeah (Let me see you toss it up)
Play on player, play on"
2pac,"Makin' money off of cuss words, writin' again
Learn how to think ahead, so I fight with my pen"
2pac,"'Cause she made a bad decision that got me livin'
Just like an animal, I'm caged up in state prison"
2pac,"Jealous niggas I despise, look in my eyes
We tradin' war stories, Outlawz on the rise"
2pac,"Scandalous (She's so scandalous, she's so scandalous)
She's so scandalous (She's so scandalous, she's so scandalous)"
2pac,"We bring it too (That's aight, haha)
(Take money) Haha"
2pac,"Now, rule two is a hard one: watch for phonies
Keep your enemies close, nigga, watch your homies"""
2pac,"My powers, so now I'm back to be a motherfuckin' menace (Them niggas cowards)
They cowards, that's why they tried to set me up"
2pac,"Down to ride to the bloody end
Just me and my girlfriend"
2pac,"I never knew, in my lifetime, I'd live by these rules
Initiated as an Outlaw, studyin' rules"
2pac,"Lead us not into temptation
But deliver us from evil"
2pac,"'Cause you ain't never had a friend like me
I'm down for you so ride with me"
2pac,"Two big pits, I call them ""my bitch-nigga eaters""
And not a whimper until I'm gone"
2pac,"You ghetto niggas
You ghetto niggas"
2pac,"They wanna see us die
They kick us every time we try"
2pac,"So what? Go put some work in and make my mail
Makin' sales, riskin' 25 with a L, but oh well"
2pac,"And you wonder if these white judges like us
Just stay strong, we'll appeal, nigga, you'll be free"
2pac,"Trapped
Nah, they can't keep the Black man down"
2pac,"Better days, better days
Hey! Better days"
2pac,"Now you can feel it, it's a potion for my niggas in motion
Forever blastin', bitches ain't ready for this thug passion"
2pac,"(Of course he gon' mind)
Let me take you to lunch, I'll have you back before he even get home, before anybody see"
2pac,"Guess who? I'll make a mess of your crew quick
The spirit Biggy Smallz and the Thugadon clique, yeah"
2pac,"As you pass bye, winkin' my eye, freshly scented
What's the haps, baby? Come get with me and perhaps, lady"
2pac,"Who do you think? A motherfuckin' 90's nigga
Ready to buck and rip shit up, I had enough"
2pac,"Long as you just bring me your friends
(In this motherfucker right here)"
2pac,"I know your man ain't lovin' you right
You're lonely and depressed, you need a thug in your life"
2pac,"Homie is done away, I should've put my gun away
I wasn't thinkin', all I heard was the ridicule"
2pac,"Ain't nothin' but a gangsta party
(Nothin' but a gangsta party"
2pac,"Lord be my savior, uhh
Mama raised a hellraiser (Dear Lord, can you feel me?), stress gettin' major, uhh"
2pac,"That love to hit the late night clubs, drink them Buds
Been livin' lavish like a player all day"
2pac,"I came to bring the pain, hardcore to the brain
Let's go inside my astral plane (No more pain)"
2pac,"From Oakland to Sac-town, the Bay Area and back down
Cali is where they put their mack down; give me love!"
2pac,"Got you curious for thug passion, now picture that
Tongue-kissing, hand full of hair, look in my eyes"
2pac,"Remain strong in this planet full of player haters
They conversate, but Death Row full of demonstrators"
2pac,"And whoever in that motherfucker, nasty new street Slugger, my heat seeks suckers on the regular
Mashin' in a stolen Black Ac' Integra"
2pac,"Only God can judge me, only God
Only God can judge me"
2pac,"Ask me why I'm a boss player gettin' high
And when I'm rollin' by niggas can't see me!"
2pac,"Half of my clans repeat felons
Niggas best protect they joints for nine-nickels"
2pac,"Makaveli, the new breed
And I remember what my pops told me"
2pac,"What happened then? No one would tell me since I was three
Heard that God took my peoples, now they livin' somewhere free"
2pac,"And so am I — I can't take her to the place she wanna go to
So, we argue and play fight, all day and night"
2pac,"Take a puff from the blunt and watch the smoke swirl
My mossberg goes BOOM, what's another plug"
2pac,"That's just the way it is (Changes)
Things'll never be the same"
2pac,"Change, shit
I guess change is good for any of us"
2pac,"The liquor and the weed, the cussin'
Sendin' love out to my block"
2pac,"La, da-da, da, da, da-da, da
Come with me"
2pac,"Yeah nigga, it's some new shit so better get up on it
When you see me, tell a nigga how you want it"
2pac,"When them stupid-ass bitches ask why, tell 'em
Thug for life, high 'til I die"
2pac,"Now who's to say if I was right or wrong
To live my life as an outlaw all along?"
2pac,"I guess money and fame made you used to me
What's up in '9-6? Find tricks in drag"
2pac,"Born on a dope fiend's titty, huh, in every city
You'll find me, look for trouble right behind me"
2pac,"I swear somebody be tellin'
Know there's dope bein' sold, but I ain't the one sellin'"
2pac,"You better beware where you lay
We better not find where you stay"
2pac,"When I come out of jail, what I was gonna do?
I was gonna start diggin' into these niggas' chest, right?"
2pac,"Niggas that don't rhyme right, you've seen too many movies
Load 'em up against the wall, close his eyes"
2pac,"You know I got my niggas up in this motherfucker
Manute, Pain, Syke, Bogart, Mopreme"
2pac,"It's epidemic; forgotten, forgotten it got worse
I keep my head on straight, makin' money ‘cause it's cursed"
2pac,"As we dream in a paranoid state
And our fate is a lifetime of hate"
2pac,"From the Clair down to Newark Bricks all my niggas flippin’ chips
Gettin’ rich, even though it's hard"
2pac,"Heart of a soldier with a brain to teach your whole nation and feelin' no more pain
I came to bring the pain, hardcore to the brain"
2pac,"Everybody run for cover, ahh, shit
Thug Life motherfucker, duck quick"
2pac,"Only fear of death— (You ghetto niggas)
Only fear of death is comin' back reincarnated"
2pac,"(Come with me; Hail Mary, nigga, run quick, see)
And God said he should send his one begotten son"
2pac,"I'm fallin' to the floor
Beggin' for the Lord to let me in to Heaven's door, shed so many tears (God please help me)"
2pac,"Ain't nothin' free, give back what you earned
No doubt, gettin' higher than a motherfucker, bless me, please"
2pac,"I mean no disrespecting when I tongue-kiss your neck
I go a long way to get you wet, what you expect?"
2pac,"I'm in the dark, getting buzzed
Looking for some love out with the homies ‘cause shorty wanna be a thug"
2pac,"One day he's gonna be, shorty's gonna be a thug
Said he's wanna be, one day he's gonna be"
2pac,"Picture me
Picture me rollin'"
2pac,"• Smile Now Mask
• Cry Later Mask"
2pac,"I hope we see the light before it's ruined
My ghetto gospel"
