rapper,lyric
Drake,thats why i need a one dance
Drake,got a hennessy in my hand
Drake,one more time fore i go
Drake,higher powers taking a hold on me
Drake,i need a one dance
Drake,got a hennessy in my hand
Drake,one more time fore i go
Drake,higher powers taking a hold on me
Drake,baby i like your style
Drake,strength and guidance
Drake,all that im wishing for my friends
Drake,nobody makes it from my ends
Drake,i had to bust up the silence
Drake,you know you gotta stick by me
Drake,soon as you see the text reply me
Drake,i dont wanna spend time fighting
Drake,weve got no time and thats why
Drake,i need a one dance
Drake,got a hennessy in my hand
Drake,one more time fore i go
Drake,higher powers taking a hold on me
Drake,i need a one dance
Drake,got a hennessy in my hand
Drake,one more time fore i go
Drake,higher powers taking a hold on me
Drake,got a pretty girl and she love me long time
Drake,wine it wine it she love me long time
Drake,oh yeah very long time
Drake,back up back up back up and wine am
Drake,back up back up and wine am girl just
Drake,back up back up back up and wine am
Drake,oh yeah very long time
Drake,back up back up and wine am girl
Drake,oh tell me i need to know
Drake,where do you wanna go
Drake,cause if youre down ill take it slow
Drake,make you lose control
Drake,where where where
Drake,where where where where 
Drake,where where where 
Drake,where where where where
Drake,cause if youre down 
Drake,cause if youre down 
Drake,cause if youre down 
Drake,i need a one dance 
Drake,got a hennessy in my hand 
Drake,one more time fore i go 
Drake,higher powers taking a hold on me 
Drake,i need a one dance
Drake,got a hennessy in my hand
Drake,one more time fore i go
Drake,higher powers taking a hold on me
Drake,how do you spell hennessy
Drake,i put two ns and two ses is it like that hen henn henn
Drake,its definitely not showing up
Drake,i got my eyes on you
Drake,youre everything that i see
Drake,i want your hot love and emotion endlessly
Drake,i cant get over you
Drake,you left your mark on me
Drake,i want your hot love and emotion endlessly
Drake,cause youre a good girl and you know it
Drake,you act so different around me
Drake,cause youre a good girl and you know it
Drake,i know exactly who you could be
Drake,just hold on were going home
Drake,just hold on were going home
Drake,its hard to do these things alone
Drake,just hold on were going home
Drake,i got my eyes on you
Drake,youre everything that i see
Drake,i want your hot love and emotion endlessly
Drake,i cant get over you
Drake,you left your mark on me
Drake,i want your hot love and emotion endlessly
Drake,cause youre a good girl and you know it
Drake,you act so different around me
Drake,cause youre a good girl and you know it
Drake,i know exactly who you could be
Drake,so just hold on were going home 
Drake,just hold on were going home 
Drake,its hard to do these things alone 
Drake,just hold on were going home 
Drake,youre the girl youre the one
Drake,gave you everything i loved
Drake,i think theres something baby
Drake,i think theres something baby
Drake,youre the girl youre the one
Drake,gave you everything i loved
Drake,i think theres something baby
Drake,i think theres something baby
Drake,cause youre a good girl and you know it
Drake,you act so different around me
Drake,cause youre a good girl and you know it
Drake,i know exactly who you could be
Drake,oh just hold on were going home 
Drake,just hold on were going home 
Drake,its hard to do these things alone 
Drake,just hold on were going home 
Drake,home 
Drake,hold on
Drake,hol it yute hol it hol it hol it hol it hol it
Drake,no sleepin in the streets
Drake,shaky warrior
Drake,yeah this that oliver 40 niko shit man
Drake,15 fort york shit yknow
Drake,boi1da whats poppin
Drake,yeah yeah
Drake,runnin through the 6 with my woes
Drake,countin money you know how it goes
Drake,pray the real live forever man
Drake,pray the fakes get exposed
Drake,i want that ferrari then i swerve
Drake,i want that bugatti just to hurt
Drake,i aint rockin my jewelry thats on purpose
Drake,niggas want my spot and dont deserve it
Drake,i dont like how serious they take themselves
Drake,ive always been me i guess i know myself
Drake,shakiness man i dont have no time for that
Drake,my city too turned up ill take the fine for that
Drake,this been where you find me at
Drake,thats been where you find me at
Drake,i know a nigga named johnny bling
Drake,he put me on to the finer things
Drake,had a job sellin girbaud jeans
Drake,i had a yellow technomarine
Drake,then kanye dropped it was polos and backpacks
Drake,man that was when ethan was pushin a subaru hatchback
Drake,man im talkin way before hashtags
Drake,i was runnin through the 6 with my woes
Drake,i was runnin through the 6 with my woes
Drake,you know how that shit go
Drake,you know how that shit go
Drake,you know how that shit go
Drake,runnin through the 6 with my woes
Drake,you know how that shit go
Drake,you know how that shit go
Drake,you know how that shit go
Drake,dont fuck with them niggas they too irrational woah
Drake,this is that nasty flow
Drake,top boy in this shit im so international
Drake,reps up is in here
Drake,got p reign and chubby and tj and winnie and woah
Drake,yeah and you know how that shit go
Drake,i might declare it a holiday as soon as baka get back on the road
Drake,yeah but you know how that shit go
Drake,they so irrational they dont wanna patch it up
Drake,they wanna mash it up woah
Drake,my nigga jibba he whip it i ride in the passenger
Drake,im way up i stay up im two up im three up
Drake,i had to get back to you woah
Drake,im turnin into a nigga that thinks about money and women
Drake,like 247 thats where my life took me
Drake,thats just how shit happened to go
Drake,and you know
Drake,runnin through the 6 with my with my
Drake,i was running through the 6 with my woes
Drake,and you know how that shit go
Drake,you know how that shit go
Drake,you know how that shit go
Drake,runnin through the 6 with my woes
Drake,you know how that shit go
Drake,you know how that shit go
Drake,you know how that shit go
Drake,runnin through the 6 with my woes
Drake,you know how that shit go
Drake,shell out all if yuh eye nuh big
Drake,always haffi look out yuh no know if yuh head book out
Drake,dun know a de unruly boss dis man
Drake,no bomboclat otha
Drake,and if a boy nuh like ovo or chromatic
Drake,yuh can jus suck yuh mada
Drake,with no apology if you nuh like we we nuh like you neither youth
Drake,your girl a say we cute if you diss you will get execute
Drake,thats the truth ovo unruly
Drake,oh man
Drake,oh man oh man
Drake,not again
Drake,yeah
Drake,i learned the game from william wesley you can never check me
Drake,back to back for the niggas that didnt get the message
Drake,back to back like im on the cover of lethal weapon
Drake,back to back like im jordan 96 97
Drake,woahvery important and very pretentious
Drake,when i look back i might be mad that i gave this attention
Drake,yeah but its weighin heavy on my conscience
Drake,yeah and fuck you left the boy no options
Drake,i wanna see my niggas go insane
Drake,you gon make me step out of my fuckin frame
Drake,you gon make me buy bottles for charlamagne
Drake,you gon make me go out of my fuckin way
Drake,i waited four days nigga where yall at
Drake,i drove here in the wraith playin arab
Drake,im not sure what it was that really made yall mad
Drake,but i guess this is what i gotta do to make yall rap
Drake,i mean whoa cant fool the city man they know whats up
Drake,second floor at tootsies gettin shoulder rubs
Drake,this for yall that think that i dont write enough
Drake,they just mad cause i got the midas touch
Drake,you love her then you gotta give the world to her
Drake,is that a world tour or your girls tour
Drake,i know that you gotta be a thug for her
Drake,this aint what she meant when she told you to open up more
Drake,yeah trigger fingers turn to twitter fingers
Drake,yeah you gettin bodied by a singin nigga
Drake,im not the type of nigga thatll type to niggas
Drake,and shout to all my boss bitches wifin niggas
Drake,make sure you hit him with the prenup
Drake,then tell that man to ease up
Drake,i did another one i did another one
Drake,you still aint did shit about the other one
Drake,i got the drink in me going back to back
Drake,yeah going back to back
Drake,i got the drink in me going back to back
Drake,yeah im going back to back
Drake,i dont wanna hear about this ever again
Drake,not even when she tell him that they better as friends
Drake,not even when you saying drizzy tell em again
Drake,i been puttin on a show it was a sellout event
Drake,oh you need better seatin
Drake,i didnt wanna do it gave me every reason
Drake,the point im tryin to make is i dont ever need em
Drake,seen what youd do for fame what would you do for freedom
Drake,please check em for a wire or a earpiece
Drake,please please do not let these niggas near me
Drake,please think before you come for the great one
Drake,please whos a real nigga and who aint one
Drake,please somebody stop me
Drake,im talkin boasy and gwanin wassy
Drake,i got the fest in five days and its my shit
Drake,soon as a nigga hit the stage they gon
Drake,they gon ask if i can play this shit back to back
Drake,yeah they want it back to back
Drake,they gon ask if i can play this shit back to back
Drake,im really stepping up my game
Drake,these bitches gotta start paying me for this
Drake,cant get no more free randy
Drake,got everything i got everything
Drake,i cannot complain i cannot
Drake,i dont even know how much i really made i forgot its a lot
Drake,fuck that never mind what i got
Drake,nigga dont watch that cause i
Drake,came up thats all me stay true thats all me 
Drake,no help thats all me all me for real
Drake,came up thats all me stay true thats all me 
Drake,no help thats all me all me for real
Drake,money on my mind you should think the same
Drake,js on pinky ring dogging these hoes i need quarantine
Drake,in the same league but we dont ball the same
Drake, she want all the fame i hear that shit all the time
Drake,she said she love me i said baby girl fall in line
Drake,okay made a million off a dinner fork watch me switch it up
Drake,walked in ill nigga alert ill nigga alert
Drake,you need that work i got that work got bitches in my condo
Drake,just bought a shirt that cost a mercedesbenz car note
Drake,from the a to toronto we let the metal go off
Drake,and my dick so hard it make the metal detector go off
Drake,this that sauce this that dressing
Drake,givenchy nigga god bless you
Drake,if having a bad bitch was a crime id be arrested 
Drake,got everything i got everything
Drake,i cannot complain i cannot
Drake,i dont even know how much i really made i forgot its a lot
Drake,fuck that never mind what i got
Drake,nigga dont watch that cause i
Drake,came up thats all me stay true thats all me
Drake,no help thats all me all me for real
Drake,came up thats all me stay true thats all me
Drake,no help thats all me all me for real
Drake,i touched down in 86 knew i was the man by the age of 6
Drake,i even fucked the girl that used to babysit
Drake,but that was years later on some crazy shit
Drake,i heard your new shit nigga hated it
Drake,damon wayans homie dont play that shit
Drake,i get paid a lot you get paid a bit
Drake,and my latest shit is like a greatest hits
Drake,goddamn aint no wishing over on this side
Drake,yall dont fuck with us then we dont fuck with yall
Drake,its no different over on this side
Drake,goddamn should i listen to everybody or myself
Drake,cause myself just told myself
Drake,youre the motherfucking man you dont need no help
Drake,cashing checks and im bigging up my chest
Drake,yall keep talking bout who next but im about as big as it gets
Drake,i swear yall just wasting yall breath
Drake,im the light skinned keith sweat ima make it last forever
Drake,its not your turn cause i aint done yet
Drake,look just understand that im on a roll like cottonelle
Drake,i was made for all of this shit
Drake,and im on the road box office sales
Drake,im getting paid for all of this shit
Drake,ask you to please excuse my table manners
Drake,i was making room for the table dancers
Drake,cause if we judging off your advances
Drake,then i just got paid like eight advances goddamn
Drake,got everything i got everything
Drake,i cannot complain i cannot
Drake,i dont even know how much i really made i forgot its a lot
Drake,fuck that never mind what i got
Drake,nigga dont watch that cause i
Drake,came up thats all me stay true thats all me
Drake,no help thats all me all me for real
Drake,came up thats all me stay true thats all me
Drake,ho shut the fuck up
Drake,i got way too much on my mental
Drake,i learn from what ive been through
Drake,im finna do what i didnt do
Drake,and still waking up like the rents due
Drake,not complicated its simple
Drake,i got sexy ladies a whole benzfull
Drake,and to them hoes im everythingeverything but gentle
Drake,but i still take my time 
Drake,man i guess im just old fashioned
Drake,wearing retro sh thats old fashion
Drake,nigga see what im saying no closed caption
Drake,i paint pics see the shit good sex need to hit
Drake,keep a broad on the floor year round like season tickets
Drake,i plead the fifth drink a fifth load the nine
Drake,leave you split in the half smoke a half need a zip
Drake,my new girl is on glee and shit
Drake,probably making more money than me and shit
Drake,i swear to god i got 99 problems but a bitch aint one
Drake,i got 99 problems getting rich aint one
Drake,like i got trust issues
Drake,im sorry for the people ive pushed out
Drake,im the type to have a bulletproof condom
Drake,and still gotta pull out
Drake,but thats just me and i aint perfect
Drake,i aint a saint but i am worth it
Drake,if its one thing i am worth it
Drake,niggas still hating but it aint working
Drake,lil bitch
Drake,oh me oh me oh my
Drake,i think i done fucked too many women from the 305
Drake,fore the end of this year
Drake,ill do king of diamonds 3 more times
Drake,smoking on that kush all in our section
Drake,like its legalized
Drake,girl you cant always have your way
Drake,sometimes it be like that
Drake,they dont really fuck with you like that
Drake,they aint never did me like that
Drake,i just took my time you got the shine
Drake,i let you eat like that
Drake,i been taught to never loan somebody
Drake,what you need right back
Drake,and i need that shit right back
Drake, im blessed than a muhfucka
Drake,niggas been stressed than a muhfucka
Drake,niggas getting nervous
Drake,clutching they chests like a muhfucka
Drake,damn thats a motherfucker
Drake,tell the truth i dont listen to you
Drake,cause i dont like being lied to
Drake,and that ship wont sail
Drake,and that wind wont guide you
Drake,daddy was in jail we was talking through the window
Drake,like a motherfucking drivethru
Drake,that was back then man
Drake,whats up
Drake,been a minute since we kicked it youve been caught up
Drake,with them bitches i dont get it youre a star love
Drake,you shouldnt have to deal with that
Drake,id never make you feel like that
Drake,cause
Drake,i love me
Drake,i love me enough for the both of us
Drake,thats why you trust me
Drake,i know you been through more than most of us
Drake,so what are you
Drake,what are you what are you so afraid of
Drake,darling you
Drake,you give but you cannot take love
Drake,yeah i needed to hear that shit i hate when youre submissive
Drake,passive aggressive when were texting i feel the distance
Drake,i look around the peers that surround me these niggas tripping
Drake,i like when money makes a difference but dont make you different
Drake,started realizing a couple places i could take it
Drake,i want to get back to when i was that kid in the basement
Drake,i want to take it deeper than money pussy vacation
Drake,and influence a generation thats lacking in patience
Drake,ive been dealing with my dad speaking of lack of patience
Drake,just me and my old man getting back to basics
Drake,weve been talking bout the future and time that we wasted
Drake,when he put that bottle down girl that niggas amazing
Drake,well fuck it we had a couple coronas
Drake,we might have rolled a white paper just something to hold us
Drake,we even talked about you and our couple of moments
Drake,he said we should hash it out like a couple of grownups
Drake,you a flower child beautiful child im in your zone
Drake,looking like you came from the seventies on your own
Drake,my mother is sixtysix and her favorite line to hit me with is
Drake,who the fuck wants to be seventy and alone
Drake,you dont even know what you want from love anymore
Drake,i search for something im missing and disappear when im bored
Drake,but girl what qualities was i looking for before
Drake,who you settling for who better for you than the boy huh
Drake,i love me
Drake,i love me enough for the both of us
Drake,thats why you trust me
Drake,i know you been through more than most of us
Drake,so what are you
Drake,what are you what are you so afraid of
Drake,darling you
Drake,you give but you cannot take love
Drake,uh thinking bout texas back when porscha used to work at treasures
Drake,or further back than that before i had the houston leverage
Drake,when i got summer a michael kors with my mommas debit
Drake,a weak attempt at flexing ill never forget it
Drake,cause that night i played her three songs
Drake,then we got to talking bout something we disagreed on
Drake,then she start telling me how ill never be as big as trey songz
Drake,boy was she wrong
Drake,that was just negative energy for me to feed off
Drake,now its therapeutic blowing money in the galleria
Drake,or beverly center macys where i discovered bria
Drake,landmarks of the muses that inspired the music
Drake,when i could tell it was sincere without tryna prove it
Drake,the one that i needed was courtney from hooters on peachtree
Drake,ive always been feeling like she was the piece to complete me
Drake,now she engaged to be married whats the rush on commitment
Drake,know we were going through some shit name a couple that isnt
Drake,remember our talk in the parking lot at the ritz
Drake,girl i felt like we had it all planned out
Drake,i guess i fucked up the vision
Drake,learning the true consequences of my selfish decisions
Drake,when you find out how im living i just hope im forgiven
Drake,it seem like you dont want this love anymore
Drake,im acting out in the open its hard for you to ignore
Drake,but girl what qualities was i looking for before
Drake,who you settling for who better for you than the boy huh
Drake,i love me
Drake,i love me enough for the both of us
Drake,thats why you trust me
Drake,i know you been through more than most of us
Drake,so what are you
Drake,what are you what are you so afraid of
Drake,darling you
Drake,you give but you cannot take love
Drake,been baka aka not nice from time g
Drake,been a east side ting
Drake,scarborough ting from time g
Drake,been have up di ting dem from time g
Drake,so i dont know whats wrong with these
Drake,little wasteman out here eh
Drake,ive been down so long it look like up to me
Drake,they look up to me
Drake,i got fake people showin fake love to me
Drake,straight up to my face straight up to my face
Drake,ive been down so long it look like up to me
Drake,they look up to me
Drake,i got fake people showin fake love to me
Drake,straight up to my face straight up to my face
Drake,somethin aint right when we talkin
Drake,somethin aint right when we talkin
Drake,look like you hidin your problems
Drake,really you never was solid
Drake,no you cant son me
Drake,you wont never get to run me
Drake,just when shit look out of reach
Drake,i reach back like one three
Drake,like one three yeah
Drake,thats when they smile in my face
Drake,whole time they wanna take my place
Drake,whole time they wanna take my place
Drake,whole time they wanna take my place
Drake,yeah i know they wanna take my place
Drake,i can tell that love is fake
Drake,i dont trust a word you say
Drake,how you wanna clique up after your mistakes
Drake,look you in the face and its just not the same
Drake,ive been down so long it look like up to me
Drake,they look up to me
Drake,i got fake people showin fake love to me
Drake,straight up to my face straight up to my face
Drake,ive been down so long it look like up to me
Drake,they look up to me
Drake,i got fake people showin fake love to me
Drake,straight up to my face straight up to my face
Drake,yeah straight up to my face tryna play it safe
Drake,vibe switch like night and day
Drake,i can see it like right away
Drake,i came up you changed up
Drake,i caught that whole play
Drake,since things never been the same
Drake,thats when they smile in my face
Drake,whole time they wanna take my place
Drake,whole time they wanna take my place
Drake,whole time they wanna take my place
Drake,yeah i know they wanna take my place
Drake,i can tell that love is fake 
Drake,i dont trust a word you say 
Drake,how you wanna clique up after your mistakes
Drake,look you in the face and its just not the same
Drake,ive been down so long it look like up to me
Drake,they look up to me
Drake,i got fake people showin fake love to me
Drake,straight up to my face straight up to my face
Drake,ive been down so long it look like up to me
Drake,they look up to me
Drake,i got fake people showin fake love to me
Drake,straight up to my face straight up to my face
Drake,skrrt
Drake,and more chune for your headtop
Drake,fuck bein on some chill shit
Drake,we go 0 to 100 nigga real quick
Drake,they be on that raptopaythebills shit
Drake,and i dont feel that shit not even a little bit
Drake,oh lord know yourself know your worth nigga
Drake,my actions been louder than my words nigga
Drake,how you so high but still so down to earth nigga
Drake,niggas wanna do it we can do it on they turf nigga
Drake,oh lord im the rookie and the vet
Drake,shoutout to the bitches out here holdin down the set
Drake,all up in my phone lookin at pictures from the other night
Drake,she gon be upset if she keep scrollin to the left dawg
Drake,she gon see some shit that she dont wanna see
Drake,she aint ready for it
Drake,if i aint the greatest then im headed for it
Drake,yeah that mean im way up 
Drake,yeah the 6 aint friendly but thats where i lay up
Drake,this shit a mothafuckin layup
Drake,i been steph curry with the shot
Drake,been cookin with the sauce chef curry with the pot boy
Drake,360 with the wrist boy
Drake,ayy who the fuck them niggas is boy
Drake,ovo man we really with the shits boy
Drake,yeah really with the shits
Drake,i should prolly sign to hitboy cause i got all the hits boy
Drake,fuck all that drake you gotta chill shit
Drake,i be on my lil mouse drill shit
Drake,fuck all that raptopayyourbills shit
Drake,yeah im on some raptorspaymybills shit
Drake,all up on tv i thought itd make me richer
Drake,wasnt payin me enough i needed somethin quicker
Drake,so now im all in niko basement puttin work in on the phones
Drake,either that or drive to money mart to make the pickups
Drake,man its 2008 im tryna paint the picture
Drake,comeback season in the works and now im thinkin bigger
Drake,i got 40 in the studio every night late night
Drake,gotta watch that shit dont want to make him sicker
Drake,thats my nigga
Drake,oh lord got a whole lot to show for it
Drake,i mean we can really get it we can go for it
Drake,im just here for the bucks and the billis nigga
Drake,dont make me kill one of the goats for it
Drake,i run this shit they like go forrest
Drake,run forrest run forrest go forrest
Drake,yeah i mean you already wrote for us
Drake,damn nigga whats one more quote for us
Drake,oh lord who else soundin like this
Drake,they aint make me what i am they just found me like this
Drake,i was ready fuck that ive been ready
Drake,since my dad used to tell me
Drake,he was comin to the house to get me
Drake,he aint show up
Drake,valuable lesson man i had to grow up
Drake,thats why i never ask for help
Drake,ill do it for you niggas and do it for myself
Drake,i go 0 to 100 nigga real quick
Drake,real quick whole squad on that real shit
Drake,0 to 100 nigga real quick
Drake,real quick real fuckin quick nigga
Drake,0 to 100 nigga real quick
Drake,real quick whole squad on that real shit
Drake,0 to 100 nigga real quick
Drake,real quick real fuckin quick nigga
Drake,whole squad on that real shit
Drake,whole squad on that real shit
Drake,whole squad on that real shit yeah
Drake,the other night
Drake,lavish lee told me that im all these people listen to
Drake,she said they love me unconditional
Drake,imagine how it feel to watch another nigga at the top
Drake,you know that if you wasnt you you would be dissin you dawg
Drake,damn okay from that perspective
Drake,i see what youre talkin bout no way to soften that
Drake,cause me i was tryna find out where i lost em at
Drake,but maybe i aint lose em at all
Drake,maybe i keep movin forward and theyre just stagnant
Drake,they aint movin at all
Drake,but when they need a favor who do they call
Drake,maybe im searchin for the problems
Drake,askin what was said and who was involved
Drake,too focused on peoples feedback and provin em wrong
Drake,they say the shoe can always fit no matter whose foot its on
Drake,these days feel like im squeezin in em
Drake,whoever wore em before just wasnt thinkin big enough
Drake,im bout to leave em with em
Drake,cause if i run in the game in these man the seams are splittin
Drake,no pun intended but theyre smellin defeat in the air
Drake,headed where nobody took it who meetin me there
Drake,they tell him that hes talkin crazy but he doesnt care
Drake,bein humble dont work as well as bein aware
Drake,listen up boy youre better off eavesdroppin
Drake,we already got spring 2015 poppin
Drake,pnd droppin repsup p droppin
Drake,majid jordan droppin ob droppin not to mention me droppin
Drake,feel like we paid the refs off man we fixed the game
Drake,me and noel been at it before twitter names
Drake,yeah been on the move like the lease is up
Drake,and i cant even name one person thats keepin up
Drake,damn fuck how it was in the past tense
Drake,ask yourself how do we match up now
Drake,cause im only 27 and im only gettin better
Drake,if i havent passed you yet watch me catch up now for real
Drake,could it be the way that ill catch up
Drake,could it be the way that ill catch up
Drake,could it be the way that ill catch up
Drake,could it be the way that ill catch up
Drake,could it be the way that ill catch up
Drake,could it be the way that ill catch up
Drake,could it be the way that ill catch up
Drake,could it be the way that ill catch up
Drake,good god almightylike back in the old days
Drake,you know years ago they had the ar men to tell you what to play how to play it and you know whether its disco and rock
Drake,but uh we just went in the studio and we did it
Drake,we had the champagne in the studio of course
Drake,you know compliments of the company
Drake,and we just laid back and did it
Drake,so we hope you enjoy listening to this album half as much as we enjoyed playing it for you
Drake,because we had a ball
Drake,only real music is gonna last
Drake,all that other bullshit is here today and gone tomorrow
Drake,cash rules everything around me frikkifrikkifrik
Drake,cream get theget theget theget the
Drake,get theget theget theget the money dollardollar
Drake,dddddollardollar dollardollar bill yall 
Drake,cash rules everything around me cream
Drake,get theget theget theget theget the
Drake,get theget theget theget the monmonmoney
Drake,frikkifrikkifrikki dollardollardollar bill yall 
Drake,yeah
Drake,uh after hours at il mulino
Drake,or sotto sotto just talkin women and vino
Drake,the contract like 91 dan marino
Drake,i swear this guy michael rapinos boosting my ego
Drake,overly focused its far from the time to rest now
Drake,debates growin bout who they think is the best now
Drake,took a while got the jokers out of the deck now
Drake,im holdin all the cards and niggas wanna play chess now
Drake,i hear you talking say it twice so i know you meant it
Drake,fuck it i dont even tint it they should know whos in it
Drake,im authentic real name no gimmicks
Drake,no game no scrimmage i aint playin with you niggas at all
Drake,my classmates they went on to be chartered accountants
Drake,or work with their parents
Drake,but thinkin back on how they treated me
Drake,my high school reunion might be worth an appearance
Drake,make everybody have to go through security clearance
Drake,tables turn bridges burn you live and learn
Drake,with the ink i could murder word to my nigga irv
Drake,yeah i swear shit just started clickin dog
Drake,you know its real when you are who you think you are
Drake,cash rules everything around me frikkifrikkifrik
Drake,cream get theget theget theget the
Drake,get theget theget theget the money dollardollar
Drake,dddddollardollar dollardollar bill yall 
Drake,cash rules everything around me cream
Drake,get theget theget theget theget the
